ISIN,BID,ASK,Valid
CH1243397895,84.6552,85.4952,invalide
CH1248352457,120.8,121.8,valide
CH1248352457,119.592,120.582,invalide
CH1253187442,61.21,62.21,valide
CH1253187442,66.1068,67.1868,invalide
CH1253187632,86.84,87.84,valide
CH1253187632,112.892,114.192,invalide
CH1253853845,5.2,5.35,valide
CH1253853845,6.24,6.42,invalide
CH1256205480,101.43,101.43,valide
CH1256205480,97.3728,97.3728,invalide
CH1257430186,92.22,93.22,valide
CH1257430186,96.831,97.881,invalide
CH1261744507,127.86,128.86,valide
CH1261744507,111.2382,112.1082,invalide
CH1261744630,107.45,108.45,valide
CH1261744630,96.705,97.605,invalide
CH1263270303,101.6,102.6,valide
CH1263270303,72.136,72.846,invalide
CH1266484141,101.35,102.35,valide
CH1266484141,73.9855,74.7155,invalide
CH1269025107,102.19,103.19,valide
CH1269025107,112.409,113.509,invalide
CH1269026279,113.87,114.87,valide
CH1269026279,122.9796,124.0596,invalide
CH1269026303,113.68,114.68,valide
CH1269026303,131.8688,133.0288,invalide
CH1269031923,104.44,105.44,valide
CH1269031923,120.106,121.256,invalide
CH1276881245,104.13,105.13,valide
CH1276881245,111.4191,112.4891,invalide
CH1279017524,96.75,97.75,valide
CH1279017524,113.1975,114.3675,invalide
CH1279017714,97.12,98.12,valide
CH1279017714,121.4,122.65,invalide
CH1279844745,91.15,92.15,valide
CH1279844745,99.3535,100.4435,invalide
CH1279845098,97.53,98.53,valide
CH1279845098,77.0487,77.8387,invalide
CH1279847367,94.85,95.85,valide
CH1279847367,90.1075,91.0575,invalide
CH1279849652,101.86,102.86,valide
CH1279849652,110.0088,111.0888,invalide
CH1279851898,96.75,97.75,valide
CH1279851898,119.97,121.21,invalide
CH1279853811,99.78,100.78,valide
CH1279853811,100.7778,101.7878,invalide
CH1279853829,85.54,86.54,valide
CH1279853829,74.4198,75.2898,invalide
CH1279853837,99.51,100.51,valide
CH1279853837,112.4463,113.5763,invalide
CH1279853845,90.99,91.99,valide
CH1279853845,65.5128,66.2328,invalide
CH1279858414,98.8,99.8,valide
CH1279858414,110.656,111.776,invalide
CH1279858729,100.13,101.13,valide
CH1279858729,111.1443,112.2543,invalide
CH1279858745,87.43,88.43,valide
CH1279858745,93.5501,94.6201,invalide
CH1280825527,118.14,119.14,valide
CH1280825527,122.8656,123.9056,invalide
CH1283117849,100.29,101.29,valide
CH1283117849,86.2494,87.1094,invalide
CH1283118235,101.46,102.46,valide
CH1283118235,118.7082,119.8782,invalide
CH1287867803,102.66,103.66,valide
CH1287867803,100.6068,101.5868,invalide
CH1289968120,96.21,97.21,valide
CH1289968120,123.1488,124.4288,invalide
CH1289972486,104.74,105.74,valide
CH1289972486,79.6024,80.3624,invalide
CH1293016494,101.64,102.64,valide
CH1293016494,80.2956,81.0856,invalide
CH1293016502,101.97,102.97,valide
CH1293016502,119.3049,120.4749,invalide
CH1305188752,107.68,108.68,valide
CH1305188752,108.7568,109.7668,invalide
CH1305188810,99.46,100.46,valide
CH1305188810,79.568,80.368,invalide
CH1308768097,100.29,101.29,valide
CH1308768097,85.2465,86.0965,invalide
CH1313697893,97.97,98.97,valide
CH1313697893,99.9294,100.9494,invalide
CH1313699261,98.1,99.1,valide
CH1313699261,107.91,109.01,invalide
CH1313699824,98.41,99.41,valide
CH1313699824,88.569,89.469,invalide
CH1313699832,98.33,99.33,valide
CH1313699832,85.5471,86.4171,invalide
CH1313700119,97.62,98.62,valide
CH1313700119,82.977,83.827,invalide
CH1313700440,98.63,99.63,valide
CH1313700440,110.4656,111.5856,invalide
CH1313700820,94.41,95.41,valide
CH1313700820,114.2361,115.4461,invalide
CH1313700952,91.79,92.79,valide
CH1313700952,118.4091,119.6991,invalide
CH1313703790,100.34,101.34,valide
CH1313703790,101.3434,102.3534,invalide
CH1324252704,18.07,18.22,valide
CH1324252704,18.4314,18.5844,invalide
CH1324258248,100.15,101.15,valide
CH1324258248,123.1845,124.4145,invalide
CH1328159566,99.47,100.47,valide
CH1328159566,123.3428,124.5828,invalide
DE000A3G1L22,1030.54,1030.54,valide
DE000A3G1L22,762.5996,762.5996,invalide
DE000A3G3KC4,1015.66,1015.66,valide
DE000A3G3KC4,1239.1052,1239.1052,invalide
DE000A3G43B9,1006.66,1006.66,valide
DE000A3G43B9,905.994,905.994,invalide
DE000A3G4T05,1006.64,1006.64,valide
DE000A3G4T05,1077.1048,1077.1048,invalide
DE000A3G7DZ1,508.15,508.65,valide
DE000A3G7DZ1,386.194,386.574,invalide
DE000DM34GS2,4481.04,4482.04,valide
DE000DM34GS2,5153.196,5154.346,invalide
DE000UE782J5,98.65,99.65,valide
DE000UE782J5,123.3125,124.5625,invalide
DE000UH03UQ6,113.38,114.38,valide
DE000UH03UQ6,86.1688,86.9288,invalide
DE000UH26R81,110.97,111.97,valide
DE000UH26R81,139.8222,141.0822,invalide
DE000UH28K52,118,119,valide
DE000UH28K52,122.72,123.76,invalide
DE000UH2F8H8,110.23,111.23,valide
DE000UH2F8H8,121.253,122.353,invalide
DE000UH2GK71,110.72,111.72,valide
DE000UH2GK71,143.936,145.236,invalide
DE000UH2V2F5,113.7,114.7,valide
DE000UH2V2F5,146.673,147.963,invalide
DE000UH454T7,110.85,111.85,valide
DE000UH454T7,92.0055,92.8355,invalide
DE000UH4H8D3,110.99,111.99,valide
DE000UH4H8D3,106.5504,107.5104,invalide
DE000UH4MPL8,110.99,111.99,valide
DE000UH4MPL8,107.6603,108.6303,invalide
DE000UH66RV9,1.77,2.77,valide
DE000UH66RV9,1.8408,2.8808,invalide
DE000UH6LAU8,108.23,109.23,valide
DE000UH6LAU8,122.2999,123.4299,invalide
DE000UH6P3Q4,1.61,2.61,valide
DE000UH6P3Q4,1.8998,3.0798,invalide
DE000UK5RD78,99.1,100.1,valide
DE000UK5RD78,73.334,74.074,invalide
DE000UL25JX0,107.98,108.98,valide
DE000UL25JX0,98.2618,99.1718,invalide
DE000UL29V52,112.97,113.97,valide
DE000UL29V52,91.5057,92.3157,invalide
DE000UL30DM6,76.24,77.24,valide
DE000UL30DM6,63.2792,64.1092,invalide
DE000UL33CM2,79.01,80.01,valide
DE000UL33CM2,99.5526,100.8126,invalide
DE000UL34YK8,103.6,104.6,valide
DE000UL34YK8,81.844,82.634,invalide
DE000UL39CW8,105.88,106.88,valide
DE000UL39CW8,105.88,106.88,invalide
DE000UL3WLU3,110.19,111.19,valide
DE000UL3WLU3,98.0691,98.9591,invalide
DE000UL479U6,114.44,115.44,valide
DE000UL479U6,138.4724,139.6824,invalide
DE000UL47W26,111.81,112.81,valide
DE000UL47W26,122.991,124.091,invalide
DE000UL4DM07,113.79,114.79,valide
DE000UL4DM07,119.4795,120.5295,invalide
DE000UL4KRP3,102.79,103.79,valide
DE000UL4KRP3,74.0088,74.7288,invalide
DE000UL4XM78,103.4,104.4,valide
DE000UL4XM78,92.026,92.916,invalide
DE000UL51EC1,101.7,102.7,valide
DE000UL51EC1,131.193,132.483,invalide
DE000UL5ZCJ3,99.95,100.95,valide
DE000UL5ZCJ3,81.959,82.779,invalide
DE000UL74VT1,103.1,104.1,valide
DE000UL74VT1,112.379,113.469,invalide
DE000UL7NCN7,101.22,102.22,valide
DE000UL7NCN7,74.9028,75.6428,invalide
DE000UL7UE37,103.79,104.79,valide
DE000UL7UE37,112.0932,113.1732,invalide
DE000UL7X6J3,104.16,105.16,valide
DE000UL7X6J3,99.9936,100.9536,invalide
DE000UL834J5,105.52,106.52,valide
DE000UL834J5,109.7408,110.7808,invalide
DE000UL98S38,98.75,99.75,valide
DE000UL98S38,122.45,123.69,invalide
DE000UL9FLJ8,89.24,90.24,valide
DE000UL9FLJ8,100.8412,101.9712,invalide
DE000UM02C63,95.65,96.65,valide
DE000UM02C63,86.085,86.985,invalide
DE000US8FBC9,158.11,158.81,valide
DE000US8FBC9,132.8124,133.4004,invalide
DE000US8N175,114.7,115.7,valide
DE000US8N175,94.054,94.874,invalide
DE000US8V806,118.37,119.07,valide
DE000US8V806,91.1449,91.6839,invalide
DE000US8XZP3,82.84,83.34,valide
DE000US8XZP3,41.41,41.91,invalide
DE000US8YCM7,114.05,114.3,valide
DE000US8YCM7,100.364,100.584,invalide
FI4000386537,53.49,54.49,valide
FI4000386537,59.3739,60.4839,invalide
FR0012758274,82.52,83.52,valide
FR0012758274,96.5484,97.7184,invalide
FR0013296795,94.49,95.49,valide
FR0013296795,84.0961,84.9861,invalide
FR0013318540,92.27,93.27,valide
FR0013318540,76.5841,77.4141,invalide
FR0013329463,113.24,114.24,valide
FR0013329463,99.6512,100.5312,invalide
FR0013332608,98.99,99.99,valide
FR0013332608,106.9092,107.9892,invalide
FR0013348869,87.13,88.13,valide
FR0013348869,92.3578,93.4178,invalide
FR0013349032,94.47,95.47,valide
FR0013349032,97.3041,98.3341,invalide
FR0013358447,86.18,87.18,valide
FR0013358447,62.9114,63.6414,invalide
FR0013371747,73.61,74.61,valide
FR0013371747,52.2631,52.9731,invalide
FR0013400025,99.77,100.77,valide
FR0013400025,97.7746,98.7546,invalide
FR0013402237,100.82,101.82,valide
FR0013402237,89.7298,90.6198,invalide
FR0013407392,99.58,101.58,valide
FR0013407392,112.5254,114.7854,invalide
FR0013414406,106.49,107.49,valide
FR0013414406,79.8675,80.6175,invalide
FR0013429917,93.02,94.02,valide
FR0013429917,83.718,84.618,invalide
FR0013432234,100.17,101.17,valide
FR0013432234,74.1258,74.8658,invalide
FR0013446606,86.13,88.13,valide
FR0013446606,71.4879,73.1479,invalide
FR0013455037,113.19,114.19,valide
FR0013455037,118.8495,119.8995,invalide
FR0013461050,96.67,97.67,valide
FR0013461050,107.3037,108.4137,invalide
FR0013466687,51.67,52.67,valide
FR0013466687,51.67,52.67,invalide
FR0013468071,99.42,100.42,valide
FR0013468071,101.4084,102.4284,invalide
FR0013472016,86.54,87.54,valide
FR0013472016,84.8092,85.7892,invalide
FR0013480480,68.28,69.28,valide
FR0013480480,51.21,51.96,invalide
FR0013481744,86.5,87.50,valide
FR0013481744,70.065,70.875,invalide
FR0013486529,85.94,87.94,valide
FR0013486529,86.7994,88.8194,invalide
FR0013489341,96.31,97.31,valide
FR0013489341,95.3469,96.3369,invalide
FR0013492964,95.29,96.29,valide
FR0013492964,114.348,115.548,invalide
FR0013493293,103.42,105.42,valide
FR0013493293,127.2066,129.6666,invalide
FR0013493558,102.34,104.34,valide
FR0013493558,129.9718,132.5118,invalide
FR0013493848,68.17,70.17,valide
FR0013493848,50.4458,51.9258,invalide
FR0013496122,101.1,103.10,valide
FR0013496122,111.21,113.41,invalide
FR0013515533,91.41,92.41,valide
FR0013515533,81.3549,82.2449,invalide
FR0013519212,86.33,87.33,valide
FR0013519212,82.0135,82.9635,invalide
FR0013521606,96.15,98.65,valide
FR0013521606,72.1125,73.9875,invalide
FR0013527017,92.75,94.75,valide
FR0013527017,87.185,89.065,invalide
FR0013527462,100.52,102.52,valide
FR0013527462,101.5252,103.5452,invalide
FR0013534807,90.59,92.59,valide
FR0013534807,70.6602,72.2202,invalide
FR0013534856,77.07,79.07,valide
FR0013534856,56.2611,57.7211,invalide
FR0014000H11,66.46,68.46,valide
FR0014000H11,69.783,71.883,invalide
FR0014000IP5,66.55,68.55,valide
FR0014000IP5,75.867,78.147,invalide
FR0014000OU3,66.51,68.51,valide
FR0014000OU3,83.8026,86.3226,invalide
FR0014000TG1,89.59,91.59,valide
FR0014000TG1,68.9843,70.5243,invalide
FR0014000ZM6,90.59,92.59,valide
FR0014000ZM6,75.1897,76.8497,invalide
FR00140014T2,62.83,64.83,valide
FR00140014T2,50.264,51.864,invalide
FR0014001BJ1,65.94,67.94,valide
FR0014001BJ1,60.0054,61.8254,invalide
FR0014001MG4,55.76,57.76,valide
FR0014001MG4,44.608,46.208,invalide
FR0014001NX7,55.06,56.06,valide
FR0014001NX7,71.0274,72.3174,invalide
FR0014001OJ4,93.87,94.87,valide
FR0014001OJ4,105.1344,106.2544,invalide
FR0014001S41,65.75,67.75,valide
FR0014001S41,51.285,52.845,invalide
FR0014001SF3,93.67,94.67,valide
FR0014001SF3,71.1892,71.9492,invalide
FR0014001ZE1,95.09,97.09,valide
FR0014001ZE1,86.5319,88.3519,invalide
FR00140023M8,94.92,95.92,valide
FR00140023M8,99.666,100.716,invalide
FR00140025E0,76.23,77.23,valide
FR00140025E0,60.2217,61.0117,invalide
FR00140025F7,98.16,100.16,valide
FR00140025F7,108.9576,111.1776,invalide
FR00140028L9,96.21,97.21,valide
FR00140028L9,97.1721,98.1821,invalide
FR0014002J82,97.16,98.16,valide
FR0014002J82,98.1316,99.1416,invalide
FR0014002SY2,92.48,94.48,valide
FR0014002SY2,93.4048,95.4248,invalide
FR0014002VI9,79.74,81.74,valide
FR0014002VI9,62.9946,64.5746,invalide
FR0014002Z41,115.49,116.49,valide
FR0014002Z41,131.6586,132.7986,invalide
FR0014003380,57.06,58.06,valide
FR0014003380,71.325,72.575,invalide
FR0014003539,85.02,86.02,valide
FR0014003539,65.4654,66.2354,invalide
FR0014003GA5,80.93,81.93,valide
FR0014003GA5,97.116,98.316,invalide
FR0014003KJ8,73,75.00,valide
FR0014003KJ8,87.6,90,invalide
FR0014003VK3,93.64,95.64,valide
FR0014003VK3,117.9864,120.5064,invalide
FR0014003Y33,96.37,98.37,valide
FR0014003Y33,114.6803,117.0603,invalide
FR00140041A5,92.64,94.64,valide
FR00140041A5,76.8912,78.5512,invalide
FR00140041C1,92.64,94.64,valide
FR00140041C1,75.9648,77.6048,invalide
FR00140044S1,80.69,82.69,valide
FR00140044S1,91.9866,94.2666,invalide
FR0014004529,1111.61,1112.61,valide
FR0014004529,1322.8159,1324.0059,invalide
FR0014004C87,92.5,94.50,valide
FR0014004C87,107.3,109.62,invalide
FR0014004EO9,108.61,109.61,valide
FR0014004EO9,105.3517,106.3217,invalide
FR0014004F84,97.98,99.98,valide
FR0014004F84,118.5558,120.9758,invalide
FR0014004FS7,86.67,88.67,valide
FR0014004FS7,98.8038,101.0838,invalide
FR0014004J80,92.51,94.51,valide
FR0014004J80,74.9331,76.5531,invalide
FR0014004JS9,82.38,84.38,valide
FR0014004JS9,57.666,59.066,invalide
FR0014004JX9,89,91,valide
FR0014004JX9,75.65,77.35,invalide
FR0014004O67,92.81,94.81,valide
FR0014004O67,77.9604,79.6404,invalide
FR0014004QQ8,97.59,99.59,valide
FR0014004QQ8,90.7587,92.6187,invalide
FR0014004UP2,80.08,82.08,valide
FR0014004UP2,60.06,61.56,invalide
FR0014004Y73,64.59,65.59,valide
FR0014004Y73,71.049,72.149,invalide
FR0014004ZJ4,92.15,93.15,valide
FR0014004ZJ4,114.266,115.506,invalide
FR0014004ZL0,81,82.00,valide
FR0014004ZL0,72.9,73.8,invalide
FR0014004ZR7,77.36,78.36,valide
FR0014004ZR7,77.36,78.36,invalide
FR00140052I5,93.9,94.90,valide
FR00140052I5,80.754,81.614,invalide
FR00140054V4,108.09,109.09,valide
FR00140054V4,96.2001,97.0901,invalide
FR0014005J22,6.21,7.21,valide
FR0014005J22,6.3342,7.3542,invalide
FR0014005MU6,81.97,82.97,valide
FR0014005MU6,60.6578,61.3978,invalide
FR0014005TM8,80.4,81.40,valide
FR0014005TM8,69.948,70.818,invalide
FR0014005YE5,87.1,88.10,valide
FR0014005YE5,66.196,66.956,invalide
FR0014005Z48,114.58,115.58,valide
FR0014005Z48,99.6846,100.5546,invalide
FR0014005ZA0,89.72,90.72,valide
FR0014005ZA0,96.8976,97.9776,invalide
FR0014005ZI3,114.38,115.38,valide
FR0014005ZI3,107.5172,108.4572,invalide
FR0014005ZJ1,80.77,81.77,valide
FR0014005ZJ1,95.3086,96.4886,invalide
FR0014005ZU8,84.26,85.26,valide
FR0014005ZU8,82.5748,83.5548,invalide
FR0014006474,71.9,72.90,valide
FR0014006474,92.032,93.312,invalide
FR0014006540,113.52,114.52,valide
FR0014006540,91.9512,92.7612,invalide
FR00140067Z7,66.51,68.51,valide
FR00140067Z7,54.5382,56.1782,invalide
FR00140069G3,92.49,94.49,valide
FR00140069G3,110.0631,112.4431,invalide
FR0014006AS3,83.9,85.90,valide
FR0014006AS3,70.476,72.156,invalide
FR0014006BS1,77.41,79.41,valide
FR0014006BS1,68.1208,69.8808,invalide
FR0014006BU7,80.1,82.10,valide
FR0014006BU7,60.075,61.575,invalide
FR0014006C28,92.93,94.93,valide
FR0014006C28,77.1319,78.7919,invalide
FR0014006CW1,87.96,89.96,valide
FR0014006CW1,83.562,85.462,invalide
FR0014006HO7,90.55,92.55,valide
FR0014006HO7,63.385,64.785,invalide
FR0014006L01,76.53,78.53,valide
FR0014006L01,86.4789,88.7389,invalide
FR0014006M75,81.92,83.92,valide
FR0014006M75,77.0048,78.8848,invalide
FR0014006M83,83.4,85.40,valide
FR0014006M83,63.384,64.904,invalide
FR0014006M91,82.6,84.60,valide
FR0014006M91,77.644,79.524,invalide
FR0014006P23,87.36,89.36,valide
FR0014006P23,92.6016,94.7216,invalide
FR0014006QD1,67.67,68.67,valide
FR0014006QD1,79.8506,81.0306,invalide
FR0014006VF6,114.72,115.72,valide
FR0014006VF6,139.9584,141.1784,invalide
FR0014007001,93.38,95.38,valide
FR0014007001,70.035,71.535,invalide
FR00140073P6,90.28,92.28,valide
FR00140073P6,64.0988,65.5188,invalide
FR0014007589,56.48,57.48,valide
FR0014007589,43.4896,44.2596,invalide
FR00140078X9,84.83,86.83,valide
FR00140078X9,67.0157,68.5957,invalide
FR0014007AA9,85.52,86.52,valide
FR0014007AA9,70.9816,71.8116,invalide
FR0014007F24,83.31,85.31,valide
FR0014007F24,81.6438,83.6038,invalide
FR0014007F57,79.73,81.73,valide
FR0014007F57,62.1894,63.7494,invalide
FR0014007F65,77.15,79.15,valide
FR0014007F65,77.9215,79.9415,invalide
FR0014007NB0,95.14,97.14,valide
FR0014007NB0,95.14,97.14,invalide
FR0014007NE4,96.49,98.49,valide
FR0014007NE4,100.3496,102.4296,invalide
FR0014007NL9,55.54,56.54,valide
FR0014007NL9,42.2104,42.9704,invalide
FR0014007PT7,87.3,89.30,valide
FR0014007PT7,101.268,103.588,invalide
FR0014007QG2,87.67,88.67,valide
FR0014007QG2,80.6564,81.5764,invalide
FR0014007T93,88.67,89.67,valide
FR0014007T93,110.8375,112.0875,invalide
FR0014007UU5,114.36,115.36,valide
FR0014007UU5,144.0936,145.3536,invalide
FR0014007WG0,86.22,87.22,valide
FR0014007WG0,98.2908,99.4308,invalide
FR0014008439,82.44,84.44,valide
FR0014008439,75.0204,76.8404,invalide
FR00140087O9,76,78,valide
FR00140087O9,85.88,88.14,invalide
FR0014008801,88.96,89.96,valide
FR0014008801,82.7328,83.6628,invalide
FR0014008CR7,78.02,80.02,valide
FR0014008CR7,95.9646,98.4246,invalide
FR0014008FT6,45.3,46.3,valide
FR0014008FT6,39.411,40.281,invalide
FR0014008X54,5.9,6.9,valide
FR0014008X54,4.779,5.589,invalide
FR0014008YU5,92.49,94.49,valide
FR0014008YU5,86.9406,88.8206,invalide
FR00140091U8,82.43,83.43,valide
FR00140091U8,103.8618,105.1218,invalide
FR00140092L5,78.55,79.55,valide
FR00140092L5,79.3355,80.3455,invalide
FR0014009B59,85.69,87.69,valide
FR0014009B59,61.6968,63.1368,invalide
FR0014009I29,106.59,107.59,valide
FR0014009I29,100.1946,101.1346,invalide
FR0014009KR8,84.79,85.79,valide
FR0014009KR8,65.2883,66.0583,invalide
FR0014009KX6,85.58,87.58,valide
